"filename", "language", "JSON", "JSON with Comments", "JavaScript", "Markdown", "TypeScript", "HTML", "Less", "CSS", "comment", "blank", "total"
"d:\Ang\App-MP\src\app\pages\home\home.component.html", "HTML", 0, 0, 0, 0, 0, 64, 0, 0, 7, 5, 76
"d:\Ang\App-MP\src\app\pages\home\home.component.less", "Less", 0, 0, 0, 0, 0, 0, 124, 0, 1, 24, 149
"d:\Ang\App-MP\src\app\pages\home\home.component.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"d:\Ang\App-MP\src\app\pages\home\home.component.ts", "TypeScript", 0, 0, 0, 0, 50, 0, 0, 0, 45, 13, 108
"d:\Ang\App-MP\src\app\pages\home\home.module.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 7, 5, 32
"d:\Ang\App-MP\src\app\pages\pages.module.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 0, 7, 2, 18
"d:\Ang\App-MP\src\app\services\data-types\common.types.ts", "TypeScript", 0, 0, 0, 0, 35, 0, 0, 0, 12, 6, 53
"d:\Ang\App-MP\src\app\services\home.service.spec.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 5, 17
"d:\Ang\App-MP\src\app\services\home.service.ts", "TypeScript", 0, 0, 0, 0, 26, 0, 0, 0, 8, 6, 40
"d:\Ang\App-MP\src\app\services\services.module.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 0, 0, 7, 3, 22
"d:\Ang\App-MP\src\app\services\sheet.service.spec.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 5, 17
"d:\Ang\App-MP\src\app\services\sheet.service.ts", "TypeScript", 0, 0, 0, 0, 28, 0, 0, 0, 17, 8, 53
"d:\Ang\App-MP\src\app\services\singer.service.spec.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 5, 17
"d:\Ang\App-MP\src\app\services\singer.service.ts", "TypeScript", 0, 0, 0, 0, 26, 0, 0, 0, 13, 6, 45
"d:\Ang\App-MP\src\app\services\song.service.spec.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 5, 17
"d:\Ang\App-MP\src\app\services\song.service.ts", "TypeScript", 0, 0, 0, 0, 30, 0, 0, 0, 28, 9, 67
"d:\Ang\App-MP\src\app\share\mp-ui\mp-player\mp-player.component.html", "HTML", 0, 0, 0, 0, 0, 56, 0, 0, 15, 4, 75
"d:\Ang\App-MP\src\app\share\mp-ui\mp-player\mp-player.component.less", "Less", 0, 0, 0, 0, 0, 0, 202, 0, 0, 4, 206
"d:\Ang\App-MP\src\app\share\mp-ui\mp-player\mp-player.component.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"d:\Ang\App-MP\src\app\share\mp-ui\mp-player\mp-player.component.ts", "TypeScript", 0, 0, 0, 0, 213, 0, 0, 0, 64, 41, 318
